,지점명,일시,일강수량_sum_mm,일강수량_mean_mm,일강수량_std_mm,일강수량_max_mm,평균기온_mean_c,평균풍속_mean_ms,최저기온_min_c,최고기온_max_c,최대순간풍속_max_ms,최대순간풍속향_max_deg,집중호우일수
359,구로,2009,919.5,9.994565217391305,29.21025472548241,153.0,24.137362637362628,1.771428571428571,13.0,36.2,18.7,356.4,5.0
360,구로,2010,801.5,8.71195652173913,20.50117038948626,109.5,25.510000000000012,1.6744444444444446,13.0,35.3,17.0,335.2,1.0
361,구로,2011,1077.0,11.835164835164836,26.707162475121304,176.5,23.570786516853936,2.234831460674158,12.5,34.4,18.2,340.3,3.0
362,구로,2012,995.0,10.815217391304348,28.23116092556183,155.5,25.011956521739126,2.4086956521739133,14.6,36.0,30.0,334.7,5.0
363,구로,2013,644.5,7.005434782608695,18.98097580911028,137.5,25.175000000000015,2.1239130434782596,13.6,34.1,18.9,351.6,1.0
364,구로,2014,428.0,4.6521739130434785,12.946580678546951,59.5,24.470652173913034,2.0999999999999996,17.4,35.6,22.7,357.2,0.0
365,구로,2015,375.0,4.076086956521739,9.823702772792936,52.5,24.92391304347826,2.182608695652174,14.4,35.7,16.5,340.3,0.0
366,구로,2016,413.5,4.494565217391305,15.901740620257321,114.0,25.73913043478261,1.98804347826087,16.4,35.8,14.8,348.8,1.0
367,강북,2007,623.5,6.7771739130434785,14.692706595120622,69.0,25.910989010989017,1.5857142857142856,14.5,36.6,26.4,298.9,0.0
368,강북,2008,984.5,10.701086956521738,26.86607605813671,144.0,24.481521739130443,1.3847826086956523,13.9,37.5,17.8,51.0,3.0
369,강북,2009,1009.5,10.972826086956522,33.45920627022044,205.0,24.514285714285702,1.4923076923076928,14.2,35.9,16.3,337.3,5.0
370,강북,2010,1032.5,11.222826086956522,23.651936255384303,118.0,25.845652173913056,1.3304347826086955,12.2,35.4,13.3,326.2,2.0
371,강북,2011,1627.5,17.690217391304348,41.21278490362743,272.0,24.59010989010989,1.6450549450549452,14.9,35.5,16.8,317.8,5.0
372,강북,2012,1020.0,11.08695652173913,26.71539136322724,132.0,25.739130434782613,1.90108695652174,15.5,36.7,19.5,348.8,5.0
373,강북,2013,937.5,10.190217391304348,24.9939379893597,168.0,26.199999999999996,1.9815217391304358,16.3,34.9,17.3,354.4,3.0
